# Rime user dictionary
#@/db_name	cangjie5
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	196
#@/user_id	e32dbddb-bfb3-404f-91c2-17c188eae791
ab 	明	c=1 d=0.618783 t=196
agdi 	時	c=1 d=0.941765 t=196
andh 	閉	c=2 d=1.64586 t=196
anmt 	開	c=1 d=0.588605 t=196
anvit 	關	c=2 d=1.63765 t=196
asje 	最	c=1 d=0.865022 t=196
bq 	用	c=2 d=0.813962 t=196
buhjm 	睡	c=1 d=0.965605 t=196
cnkq 	鍵	c=1 d=0.585669 t=196
csh 	分	c=2 d=1.2011 t=196
dam 	查	c=2 d=1.14958 t=196
dkmym 	整	c=1 d=0.860708 t=196
dm 	本	c=1 d=0.726149 t=196
dmmf 	标	c=1 d=0.398519 t=196
dtge 	樣	c=1 d=0.386741 t=196
eapp 	混	c=1 d=0.551563 t=196
edhe 	波	c=1 d=0.38868 t=196
efb 	消	c=1 d=0.524663 t=196
egi 	法	c=1 d=0.396531 t=196
eiav 	浪	c=1 d=0.390628 t=196
emhf 	源	c=1 d=0.680451 t=196
fbnd 	学	c=1 d=0.425283 t=196
fvok 	数	c=1 d=0.423162 t=196
grmbc 	頡	c=1 d=0.559898 t=196
hapi 	的	c=1 d=0.532592 t=196
hbu 	自	c=3 d=2.00294 t=196
he 	反	c=2 d=1.14385 t=196
hgdi 	等	c=1 d=0.421052 t=196
hghu 	先	c=1 d=0.637628 t=196
hgks 	動	c=1 d=0.923116 t=196
hhqu 	笔	c=2 d=0.991707 t=196
hj 	千	c=1 d=0.404542 t=196
hjwg 	重	c=1 d=0.900325 t=196
hlq 	筆	c=2 d=1.35903 t=196
hodi 	符	c=1 d=0.802519 t=196
houuk 	微	c=1 d=0.701173 t=196
hqi 	我	c=1 d=0.408608 t=196
hqm 	生	c=1 d=0.640824 t=196
hvp 	氏	c=1 d=0.394554 t=196
ibpp 	能	c=2 d=0.990162 t=196
iknf 	為	c=1 d=0.960789 t=196
ine 	永	c=1 d=0.628135 t=196
irok 	啟	c=1 d=0.591555 t=196
jcm 	空	c=1 d=0.519442 t=196
jjno 	軟	c=1 d=0.704688 t=196
jjomn 	輸	c=7 d=4.31075 t=196
jnd 	字	c=3 d=2.28828 t=196
jvd 	案	c=2 d=0.844803 t=196
k 	大	c=1 d=0.433874 t=196
llmb 	师	c=1 d=0.431711 t=196
lmp 	北	c=1 d=0.429557 t=196
lmsy 	非	c=1 d=0.516851 t=196
lnhe 	版	c=1 d=0.66034 t=196
lsa 	间	c=1 d=0.382893 t=196
lvok 	數	c=1 d=0.955997 t=196
mbmbl 	需	c=1 d=0.767206 t=196
mbuc 	頁	c=1 d=0.379083 t=196
mdm 	五	c=4 d=2.33902 t=196
mf 	不	c=2 d=1.47427 t=196
mg 	王	c=1 d=0.625002 t=196
mks 	功	c=1 d=0.548812 t=196
mng 	型	c=1 d=0.657047 t=196
mnmbc 	頂	c=1 d=0.878095 t=196
mnr 	可	c=1 d=0.390628 t=196
mrsqf 	碼	c=5 d=3.42337 t=196
mwsu 	配	c=1 d=0.398519 t=196
mwyoj 	醉	c=1 d=0.416862 t=196
my 	下	c=1 d=0.414783 t=196
nau 	色	c=1 d=0.402524 t=196
nc 	小	c=1 d=0.380983 t=196
nd 	子	c=1 d=0.818731 t=196
nl 	引	c=1 d=0.579842 t=196
nlmrb 	隔	c=2 d=1.18333 t=196
nonhe 	發	c=1 d=0.615697 t=196
o 	人	c=2 d=1.35167 t=196
ob 	內	c=2 d=0.928417 t=196
oh 	入	c=3 d=1.98108 t=196
oiar 	倉	c=2 d=1.01781 t=196
ojlk 	使	c=1 d=0.421052 t=196
olnk 	候	c=2 d=1.39581 t=196
omg 	全	c=2 d=1.13516 t=196
otf 	無	c=2 d=1.65921 t=196
otlm 	僅	c=1 d=0.416862 t=196
pr 	句	c=1 d=0.814647 t=196
qlmy 	排	c=1 d=0.45612 t=196
qmv 	表	c=1 d=0.677057 t=196
qni 	专	c=1 d=0.412714 t=196
qtt 	拼	c=2 d=1.13544 t=196
rc 	只	c=1 d=0.56836 t=196
rmvs 	号	c=2 d=0.797395 t=196
rnbk 	喚	c=1 d=0.427415 t=196
romr 	哈	c=1 d=0.382893 t=196
rrwj 	單	c=2 d=1.18717 t=196
rvp 	民	c=1 d=0.634448 t=196
semrt 	豎	c=1 d=0.514274 t=196
seycg 	鹽水選種	c=1 d=0.444858 t=196
seyt 	竪	c=1 d=0.447088 t=196
sje 	取	c=1 d=0.522046 t=196
smv 	長	c=1 d=0.869358 t=196
stt 	屏	c=2 d=1.82843 t=196
tgk 	美	c=1 d=0.418952 t=196
tlbk 	英	c=3 d=1.77434 t=196
tmtj 	華	c=1 d=0.392586 t=196
utmo 	嵌	c=2 d=0.947458 t=196
uu 	出	c=4 d=2.23568 t=196
vfisb 	編	c=2 d=0.969629 t=196
vio 	以	c=1 d=0.394554 t=196
wfik 	默	c=3 d=1.31838 t=196
wljbm 	置	c=1 d=0.398519 t=196
ybbr 	過	c=1 d=0.57695 t=196
yhmbc 	頻	c=1 d=0.843665 t=196
yhs 	方	c=2 d=0.838415 t=196
yk 	文	c=3 d=1.78816 t=196
ym 	上	c=2 d=1.81931 t=196
ynib 	通	c=1 d=0.574072 t=196
yrbgr 	調	c=1 d=0.856415 t=196
yrbmr 	詷	c=1 d=0.852144 t=196
yrbr 	高	c=1 d=0.418952 t=196
yrf 	点	c=1 d=0.402524 t=196
yrhne 	設	c=1 d=0.396531 t=196
yrsip 	認	c=4 d=2.29543 t=196
