# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	166
#@/user_id	e32dbddb-bfb3-404f-91c2-17c188eae791
zhe4 ge5 	這個	c=2 d=1.31238 t=166
zhe4 xie1 	這些	c=1 d=0.778801 t=166
zheng4 ti3 	正體	c=0 d=0.107675 t=166
zhi1 	之	c=1 d=0.535261 t=166
zhi1 chi2 	支持	c=2 d=1.23024 t=166
zhi3 neng2 yong4 	只能用	c=1 d=0.637628 t=166
zhi4 zuo4 	製作	c=2 d=0.990718 t=166
zhong1 wen2 	中文	c=1 d=0.474734 t=166
zhong1 ying1 wen2 	中英文	c=1 d=0.66034 t=166
zhu4 yin1 	注音	c=8 d=6.10323 t=166
zi4 ji3 	自己	c=1 d=0.481909 t=166
zi4 yong4 	自用	c=1 d=0.467666 t=166
